,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_net_arch,params_tau,state
55,55,-2.75,2023-09-12 12:04:31.943387,2023-09-12 12:05:05.303985,0 days 00:00:33.360598,0.00031934457772711354,small,0.2868002009904834,PRUNED
56,56,-1.5340124999999998,2023-09-12 12:05:05.304220,2023-09-12 12:05:42.592529,0 days 00:00:37.288309,0.0005018849178373221,large,0.3324798002936463,PRUNED
57,57,-2.75,2023-09-12 12:05:42.592746,2023-09-12 12:06:15.942223,0 days 00:00:33.349477,0.00044344620556532844,small,0.19425663091442383,PRUNED
58,58,-2.75,2023-09-12 12:06:15.942449,2023-09-12 12:06:50.454881,0 days 00:00:34.512432,0.0005701349553138453,small,0.44394031712997084,PRUNED
59,59,-1.2270705,2023-09-12 12:06:50.455090,2023-09-12 12:12:18.560972,0 days 00:05:28.105882,0.0002847378347309101,medium,0.22642752586057335,COMPLETE
60,60,-2.75,2023-09-12 12:12:18.561294,2023-09-12 12:12:52.140641,0 days 00:00:33.579347,0.0003414778496462841,small,0.14417969798382113,PRUNED
61,61,-1.204161,2023-09-12 12:12:52.141112,2023-09-12 12:17:28.131172,0 days 00:04:35.990060,0.0002913406169507588,medium,0.17983558232458616,COMPLETE
62,62,-1.2746885,2023-09-12 12:17:28.131595,2023-09-12 12:18:02.620641,0 days 00:00:34.489046,0.00024932756707867187,medium,0.17935372124337068,PRUNED
63,63,-2.2141325,2023-09-12 12:18:02.620853,2023-09-12 12:23:57.257956,0 days 00:05:54.637103,0.0003227290759990642,medium,0.3499821261632445,COMPLETE
64,64,-2.75,2023-09-12 12:23:57.258259,2023-09-12 12:24:33.031848,0 days 00:00:35.773589,0.00039586374828845094,medium,0.15445001028587632,PRUNED
65,65,-0.9922815,2023-09-12 12:24:33.032126,2023-09-12 12:29:35.624728,0 days 00:05:02.592602,0.0003030390656077291,medium,0.1144104629826193,COMPLETE
66,66,-2.75,2023-09-12 12:29:35.625012,2023-09-12 12:30:09.045440,0 days 00:00:33.420428,0.00037024531696796994,small,0.12153675247701953,PRUNED
67,67,-2.75,2023-09-12 12:30:09.045934,2023-09-12 12:30:43.723678,0 days 00:00:34.677744,0.00040861525927647266,large,0.09252551151877542,PRUNED
68,68,-2.75,2023-09-12 12:30:43.723958,2023-09-12 12:31:17.148877,0 days 00:00:33.424919,0.0003093825768449971,small,0.1116526653943418,PRUNED
69,69,-2.75,2023-09-12 12:31:17.149166,2023-09-12 12:31:50.575301,0 days 00:00:33.426135,0.000351094929489635,medium,0.24372747327071165,PRUNED
70,70,-2.75,2023-09-12 12:31:50.575535,2023-09-12 12:36:27.734693,0 days 00:04:37.159158,0.0006536111981289458,small,0.20819144099974005,COMPLETE
71,71,-0.49238750000000003,2023-09-12 12:36:27.735079,2023-09-12 12:37:32.922567,0 days 00:01:05.187488,0.0002931493055262785,medium,0.14395275333515709,PRUNED
72,72,-0.0021335000000000104,2023-09-12 12:37:32.922784,2023-09-12 12:38:35.538705,0 days 00:01:02.615921,0.00026336543678461385,medium,0.16961155553710697,PRUNED
73,73,-0.6572515,2023-09-12 12:38:35.538920,2023-09-12 12:43:50.741983,0 days 00:05:15.203063,0.0002835237251065471,medium,0.12721547682242204,COMPLETE
